Pot. Lampada,Pot. Ventoinha,Temp,Umidade,Tempo
0,0,28,70,0
0,0,27.8,70,1
0,0,27.8,70,2
0,0,27.7,70,3
0,0,27.7,70,4
0,0,27.7,70,5
0,0,27.7,70,6
0,0,27.7,70,7
0,0,27.7,70,8
0,0,27.7,70,9
0,0,27.7,70,10
0,0,27.5,70,11
0,0,27.5,70,12
0,0,27.4,70,13
0,0,27.4,70,14
0,0,27.4,70,15
0,0,27.4,70,16
0,0,27.4,71,17
0,0,27.4,71,18
0,0,27.4,69,19
0,0,27.4,69,20
0,0,27.4,69,21
0,0,27.4,69,22
0,0,27.4,70,23
0,0,27.4,70,24
0,0,27.4,70,25
0,0,27.4,70,26
0,0,27.4,71,27
0,0,27.4,71,28
0,0,27.4,72,29
0,0,27.4,72,30
0,0,27.4,72,31
0,0,27.4,72,32
0,0,27.4,73,33
0,0,27.4,73,34
0,0,27.2,73,35
0,0,27.2,73,36
0,0,27.1,72,37
0,0,27.1,72,38
0,0,27.3,72,39
0,0,27.3,72,40
0,0,27,73,41
0,0,27,73,42
0,0,27,73,43
0,0,27,73,44
0,0,27.1,74,45
0,0,27.1,74,46
0,0,27.1,74,47
0,0,27.1,74,48
0,0,27.1,74,49
0,0,27.1,74,50
0,0,27.1,75,51
0,0,27.1,75,52
0,0,27.2,75,53
0,0,27.2,75,54
0,0,27.2,75,55
0,0,27.2,75,56
0,0,27.1,76,57
0,0,27.1,76,58
0,0,27,76,59
0,0,27,76,60
0,0,27.2,76,61
0,0,27.2,76,62
0,0,27.3,77,63
0,0,27.3,77,64
0,0,27.3,76,65
0,0,27.3,76,66
0,0,27.2,76,67
0,0,27.2,76,68
0,0,27.3,77,69
0,0,27.3,77,70
0,0,27.1,78,71
0,0,27.1,78,72
0,0,27.2,78,73
0,0,27.2,78,74
0,0,27.1,78,75
0,0,27.1,78,76
0,0,27.3,79,77
0,0,27.3,79,78
0,0,27.3,79,79
0,0,27.3,79,80
0,0,27.3,80,81
0,0,27.3,80,82
0,0,27.2,80,83
0,0,27.2,80,84
0,0,27,80,85
0,0,27,80,86
0,0,27.4,80,87
0,0,27.4,80,88
0,0,27.1,81,89
0,0,27.1,81,90
0,0,27.1,80,91
0,0,27.1,80,92
0,0,27.3,80,93
0,0,27.3,80,94
0,0,27.4,81,95
0,0,27.4,81,96
0,0,27.4,81,97
0,0,27.4,81,98
0,0,27,81,99
0,0,27,81,100
0,0,27.4,82,101
0,0,27.4,82,102
0,0,27.4,82,103
0,0,27.4,82,104
0,0,27.4,82,105
0,0,27.4,82,106
0,0,27.4,82,107
0,0,27.4,82,108
0,0,27.4,83,109
0,0,27.4,83,110
0,0,27.4,83,111
0,0,27.4,83,112
0,0,27.4,83,113
0,0,27.4,83,114
0,0,27.1,83,115
0,0,27.1,83,116
0,0,27.1,83,117
0,0,27.1,83,118
0,0,27.2,83,119
0,0,27.2,83,120
0,0,27,83,121
0,0,27,83,122
0,0,27,84,123
0,0,27,84,124
0,0,27,84,125
0,0,27,84,126
0,0,27,84,127
0,0,27,84,128
0,0,27,84,129
0,0,27,84,130
0,0,27,84,131
0,0,27,84,132
0,0,27,84,133
0,0,27,84,134
0,0,27,84,135
0,0,27,84,136
0,0,27,84,137
0,0,27,84,138
0,0,27,84,139
0,0,27,84,140
0,0,27,85,141
0,0,27,85,142
0,0,27,85,143
0,0,27,85,144
0,0,26.8,84,145
0,0,26.8,84,146
0,0,26.7,84,147
0,0,26.7,84,148
0,0,26.7,84,149
0,0,26.7,84,150
0,0,26.7,85,151
0,0,26.7,85,152
0,0,26.7,85,153
0,0,26.7,85,154
0,0,26.7,85,155
0,0,26.7,85,156
0,0,26.7,85,157
0,0,26.7,85,158
0,0,26.7,85,159
0,0,26.7,85,160
0,0,26.7,85,161
0,0,26.7,85,162
0,0,26.7,85,163
0,0,26.7,85,164
0,0,26.7,86,165
0,0,26.7,86,166
0,0,26.7,86,167
0,0,26.7,86,168
0,0,26.7,86,169
0,0,26.7,86,170
0,0,26.7,86,171
0,0,26.7,86,172
0,0,26.7,86,173
0,0,26.7,86,174
0,0,26.7,86,175
0,0,26.7,86,176
0,0,26.7,86,177
0,0,26.7,86,178
0,0,26.6,86,179
0,0,26.6,86,180
0,0,26.5,87,181
0,0,26.5,87,182
0,0,26.3,87,183
0,0,26.3,87,184
0,0,26.3,87,185
0,0,26.3,87,186
0,0,26.3,87,187
0,0,26.3,87,188
0,0,26.3,87,189
0,0,26.3,87,190
0,0,26.3,87,191
0,0,26.3,87,192
0,0,26.3,87,193
0,0,26.3,87,194
0,0,26.3,87,195
0,0,26.3,87,196
0,0,26.3,87,197
0,0,26.3,87,198
0,0,26.3,87,199
0,0,26.3,87,200
0,0,26.3,88,201
0,0,26.3,88,202
0,0,26.3,88,203
0,0,26.3,88,204
0,0,26.3,88,205
0,0,26.3,88,206
0,0,26.3,88,207
0,0,26.3,88,208
0,0,26.4,88,209
0,0,26.4,88,210
0,0,26.5,88,211
0,0,26.5,88,212
0,0,26.5,88,213
0,0,26.5,88,214
0,0,26.4,88,215
0,0,26.4,88,216
0,0,26.4,88,217
0,0,26.4,88,218
0,0,26.5,88,219
0,0,26.5,88,220
0,0,26.6,88,221
0,0,26.6,88,222
0,0,26.6,88,223
0,0,26.6,88,224
0,0,26.5,88,225
0,0,26.5,88,226
0,0,26.3,88,227
0,0,26.3,88,228
0,0,26.3,89,229
0,0,26.3,89,230
0,0,26.3,88,231
0,0,26.3,88,232
0,0,26.3,88,233
0,0,26.3,88,234
0,0,26.3,88,235
0,0,26.3,88,236
0,0,26.3,88,237
0,0,26.3,88,238
0,0,26.3,89,239
0,0,26.3,89,240
0,0,26.3,89,241
0,0,26.3,89,242
0,0,26.3,89,243
0,0,26.3,89,244
0,0,26.3,89,245
0,0,26.3,89,246
0,0,26.3,89,247
0,0,26.3,89,248
0,0,26.3,89,249
0,0,26.3,89,250
0,0,26.3,89,251
0,0,26.3,89,252
0,0,26.3,89,253
0,0,26.3,89,254
100,0,26.3,89,255
100,0,26.3,89,256
100,0,26.3,89,257
100,0,26.3,89,258
100,0,26.3,89,259
100,0,26.3,89,260
100,0,26.3,89,261
100,0,26.3,89,262
100,0,26.5,89,263
100,0,26.5,89,264
100,0,26.4,89,265
100,0,26.4,89,266
100,0,26.3,89,267
100,0,26.3,89,268
100,0,26.6,89,269
100,0,26.6,89,270
100,0,26.7,89,271
100,0,26.7,89,272
100,0,26.7,91,273
100,0,26.7,91,274
100,0,27,91,275
100,0,27,91,276
100,0,27,91,277
100,0,27,91,278
100,0,27.4,91,279
100,0,27.4,91,280
100,0,27.1,91,281
100,0,27.1,91,282
100,0,27.3,91,283
100,0,27.3,91,284
100,0,27.4,92,285
100,0,27.4,92,286
100,0,27.6,92,287
100,0,27.6,92,288
100,0,27.7,92,289
100,0,27.7,92,290
100,0,28,93,291
100,0,28,93,292
100,0,28,93,293
100,0,28,93,294
100,0,28.1,92,295
100,0,28.1,92,296
100,0,28.1,92,297
100,0,28.1,92,298
100,0,28.5,93,299
100,0,28.5,93,300
100,0,28.5,93,301
100,0,28.5,93,302
100,0,28.8,93,303
100,0,28.8,93,304
100,0,28.5,95,305
100,0,28.5,95,306
100,0,28.7,95,307
100,0,28.7,95,308
100,0,28.8,95,309
100,0,28.8,95,310
100,0,28.9,95,311
100,0,28.9,95,312
100,0,29.2,95,313
100,0,29.2,95,314
100,0,29.2,95,315
100,0,29.2,95,316
100,0,29.5,95,317
100,0,29.5,95,318
100,0,29.5,95,319
100,0,29.5,95,320
100,0,29.6,95,321
100,0,29.6,95,322
100,0,29.6,95,323
100,0,29.6,95,324
100,0,30,95,325
100,0,30,95,326
100,0,30,95,327
100,0,30,95,328
100,0,30.4,95,329
100,0,30.4,95,330
100,0,30.3,95,331
