Potência Lâmpada (%),PWM Ventoinha (%),Temperatura (°C),Umidade (%),
1,100,26.8,52,148
1,100,27,52,149
1,100,27,52,150
1,100,27,52,151
1,100,27,52,152
1,100,26.9,52,153
1,100,26.9,52,154
1,100,26.8,52,155
1,100,26.8,52,156
1,100,26.7,52,157
1,100,26.7,52,158
1,100,26.7,52,159
1,100,26.7,52,160
1,100,26.7,52,161
1,100,26.7,52,162
1,100,26.7,52,163
1,100,26.7,52,164
1,100,26.7,52,165
1,100,26.7,52,166
1,100,26.7,52,167
1,100,26.7,52,168
1,100,26.7,52,169
1,100,26.7,52,170
1,100,26.7,52,171
1,100,26.7,52,172
1,100,26.7,52,173
1,100,26.7,52,174
1,100,26.7,51,175
1,100,26.7,51,176
1,100,26.7,51,177
1,100,26.7,51,178
1,100,26.7,51,179
1,100,26.7,51,180
1,100,26.7,51,181
1,100,26.7,51,182
1,100,26.5,51,183
1,100,26.5,51,184
1,100,26.4,51,185
1,100,26.4,51,186
1,100,26.4,51,187
1,100,26.4,51,188
1,100,26.3,51,189
1,100,26.3,51,190
1,100,26.3,51,191
1,100,26.3,51,192
1,100,26.3,51,193
1,100,26.3,51,194
1,100,26.3,51,195
1,100,26.3,51,196
1,100,26.3,51,197
1,100,26.3,51,198
1,100,26.3,51,199
1,100,26.3,51,200
1,100,26.3,51,201
1,100,26.3,51,202
1,100,26.3,51,203
1,100,26.3,51,204
1,100,26.3,51,205
1,100,26.3,51,206
1,100,26.3,51,207
1,100,26.3,51,208
1,100,26.3,51,209
1,100,26.3,51,210
1,100,26.3,51,211
1,100,26.3,51,212
1,100,26.3,51,213
1,100,26.3,51,214
1,100,26.2,51,215
1,100,26.2,51,216
1,100,26.1,51,217
1,100,26.1,51,218
1,100,26.1,51,219
1,100,26.1,51,220
1,100,26,51,221
1,100,26,51,222
1,100,26,51,223
1,100,26,51,224
1,100,26,51,225
1,100,26,51,226
1,100,26,51,227
1,100,26,51,228
1,100,26.1,51,229
1,100,26.1,51,230
1,100,26,51,231
1,100,26,51,232
1,100,26.1,51,233
1,100,26.1,51,234
1,100,26.2,51,235
1,100,26.2,51,236
1,100,26.2,51,237
1,100,26.2,51,238
1,100,26.2,51,239
1,100,26.2,51,240
1,100,26.2,51,241
1,100,26.2,51,242
1,100,26.2,51,243
1,100,26.2,51,244
1,100,26.3,51,245
1,100,26.3,51,246
1,100,26.3,51,247
1,100,26.3,51,248
1,100,26.2,51,249
1,100,26.2,51,250
1,100,26,51,251
1,100,26,51,252
1,100,26,51,253
1,100,26,51,254
1,100,26,51,255
1,100,26,51,256
1,100,26,51,257
1,100,26,51,258
1,100,26,51,259
1,100,26,51,260
1,100,26,51,261
1,100,26,51,262
1,100,26,51,263
1,100,26,51,264
1,100,26,51,265
1,100,26,51,266
1,100,26,51,267
1,100,26,51,268
1,100,26,51,269
1,100,26,51,270
1,100,26,50,271
1,100,26,50,272
1,100,26,50,273
1,100,26,50,274
1,100,26,50,275
1,100,26,50,276
1,100,26,50,277
1,100,26,50,278
1,100,26,50,279
1,100,26,50,280
1,100,26,50,281
1,100,26,50,282
1,100,26,50,283
1,100,26,50,284
1,100,26,50,285
1,100,26,50,286
1,100,26,50,287
1,100,26,50,288
1,100,26,50,289
1,100,26,50,290
1,100,26,50,291
1,100,26,50,292
1,100,25.9,50,293
1,100,25.9,50,294
1,100,25.9,50,295
1,100,25.9,50,296
1,100,25.7,50,297
1,100,25.7,50,298
1,100,25.7,50,299
1,100,25.7,50,300
