54.2,0,,,,,,,,,,,
54.2,1,,,,,,,,,,,
54.2,2,,,,,,,,,,,
53.8,3,,,,,,,,,,,
53.8,4,,,,,,,,,,,
53.7,5,,,,,,,,,,,
53.7,6,,,,,,,,,,,
53.7,7,,,,,,,,,,,
53.7,8,,,,,,,,,,,
53.7,9,,,,,,,,,,ganho,-21.6
53.7,10,,,,,,,,,,tau,
53.7,11,,,,,,,,,,,
53.7,12,,,,,,,,,,,
53.7,13,,,,,,,,,,,
53.7,14,,,,,,,,,,,
53.7,15,,,,,,,,,,,
53.7,16,,,,,,,,,,,
53.7,17,,,,,,,,,,,
53.7,18,,,,,,,,,,,
53.7,19,,,,,,,,,,,
53.7,20,,,,,,,,,,,
53.7,21,,,,,,,,,,,
53.7,22,,,,,,,,,,,
53.7,23,,,,,,,,,,,
53.7,24,,,,,,,,,,,
53.7,25,,,,,,,,,,,
53.7,26,,,,,,,,,,,
53.7,27,,,,,,,,,,,
53.7,28,,,,,,,,,,,
55,29,,,,,,,,,,,
55,30,,,,,,,,,,,
54.5,31,,,,,,,,,,,
54.5,32,,,,,,,,,,,
54.5,33,,,,,,,,,,,
54.5,34,,,,,,,,,,,
54.5,35,,,,,,,,,,,
54.5,36,,,,,,,,,,,
54.5,37,,,,,,,,,,,
54.5,38,,,,,,,,,,,
54.5,39,,,,,,,,,,,
54.5,40,,,,,,,,,,,
54.5,41,,,,,,,,,,,
54.5,42,,,,,,,,,,,
53.1,43,,,,,,,,,,,
53.1,44,,,,,,,,,,,
53.7,45,,,,,,,,,,,
53.7,46,,,,,,,,,,,
52.3,47,,,,,,,,,,,
52.3,48,,,,,,,,,,,
51.4,49,,,,,,,,,,,
51.4,50,,,,,,,,,,,
51.4,51,,,,,,,,,,,
51.4,52,,,,,,,,,,,
50.7,53,,,,,,,,,,,
50.7,54,,,,,,,,,,,
50,55,,,,,,,,,,,
50,56,,,,,,,,,,,
49.2,57,,,,,,,,,,,
49.2,58,,,,,,,,,,,
48.2,59,,,,,,,,,,,
48.2,60,,,,,,,,,,,
48.7,61,,,,,,,,,,,
48.7,62,,,,,,,,,,,
48.1,63,,,,,,,,,,,
48.1,64,,,,,,,,,,,
